,original_air_year,total_us_viewers_in_millions
0,1989,26.7
1,1990,577.6000000000001
2,1991,556.1999999999999
3,1992,506.10000000000014
4,1993,447.40000000000003
5,1994,392.8
6,1995,388.2
7,1996,280.30000000000007
8,1997,343.5
9,1998,211.0
10,1999,203.21999999999997
11,2000,242.92999999999998
12,2001,283.0
13,2002,282.90000000000003
14,2003,312.84000000000003
15,2004,208.69999999999993
16,2005,259.90000000000003
17,2006,203.49000000000004
18,2007,198.33
19,2008,147.06
20,2009,146.43
21,2010,171.08
22,2011,147.79
23,2012,121.49
24,2013,116.78000000000002
25,2014,117.29
26,2015,93.89
27,2016,47.7
